package,version
autocommand,2.2.2
backports.tarfile,1.2.0
importlib_metadata,8.0.0
inflect,7.3.1
jaraco.collections,5.1.0
jaraco.context,5.3.0
jaraco.functools,4.0.1
jaraco.text,3.12.1
joblib,1.5.1
more-itertools,10.3.0
numpy,1.26.4
packaging,24.2
pandas,2.0.3
pip,24.2
platformdirs,4.2.2
python-dateutil,2.9.0.post0
pytz,2025.2
scikit-learn,1.4.2
scipy,1.10.1
setuptools,80.9.0
six,1.17.0
threadpoolctl,3.6.0
tomli,2.0.1
typeguard,4.3.0
typing_extensions,4.12.2
tzdata,2025.2
wheel,0.45.1
wheel,0.45.1
zipp,3.19.2
