"package","version"
"MASS","7.3-57"
"Matrix","1.6-5"
"R6","2.5.1"
"RColorBrewer","1.1-3"
"RSpectra","0.16-2"
"Rcpp","1.0.9"
"RcppEigen","0.3.4.0.2"
"RcppTOML","0.2.3"
"askpass","1.2.1"
"base64enc","0.1-3"
"boot","1.3-28"
"brew","1.0-10"
"brio","1.1.5"
"bslib","0.9.0"
"cachem","1.1.0"
"callr","3.7.6"
"class","7.3-20"
"cli","3.6.5"
"clipr","0.8.0"
"commonmark","2.0.0"
"cpp11","0.5.2"
"crayon","1.5.3"
"credentials","2.0.3"
"curl","7.0.0"
"data.table","1.14.2"
"desc","1.4.3"
"devtools","2.4.5"
"diffobj","0.3.6"
"digest","0.6.37"
"downlit","0.4.4"
"dplyr","1.1.4"
"e1071","1.7-12"
"ellipsis","0.3.2"
"evaluate","1.0.5"
"fansi","1.0.6"
"farver","2.1.2"
"fastmap","1.2.0"
"fontawesome","0.5.3"
"fs","1.6.6"
"fst","0.9.8"
"fstcore","0.10.0"
"generics","0.1.4"
"gert","2.1.5"
"ggplot2","3.4.4"
"gh","1.5.0"
"gitcreds","0.1.2"
"glue","1.6.2"
"gtable","0.3.6"
"here","1.0.2"
"highr","0.11"
"htmltools","0.5.8.1"
"htmlwidgets","1.6.4"
"httpuv","1.6.16"
"httr2","1.2.1"
"ini","0.3.1"
"isoband","0.2.7"
"jquerylib","0.1.4"
"jsonlite","2.0.0"
"kernlab","0.9-32"
"knitr","1.50"
"labeling","0.4.3"
"later","1.4.4"
"lattice","0.20-45"
"lifecycle","1.0.3"
"magrittr","2.0.3"
"memoise","2.0.1"
"mgcv","1.8-40"
"mime","0.13"
"miniUI","0.1.2"
"nlme","3.1-157"
"openssl","2.3.3"
"osqp","0.6.3.3"
"pbapply","1.7-2"
"pillar","1.11.0"
"pkgbuild","1.4.8"
"pkgconfig","2.0.3"
"pkgdown","2.1.3"
"pkgload","1.4.0"
"png","0.1-8"
"praise","1.0.0"
"prettyunits","1.2.0"
"processx","3.8.6"
"profvis","0.4.0"
"promises","1.3.3"
"proxy","0.4-27"
"ps","1.9.1"
"purrr","1.1.0"
"quadprog","1.5-8"
"ragg","1.5.0"
"rappdirs","0.3.3"
"rcmdcheck","1.4.0"
"remotes","2.5.0"
"renv","1.0.7"
"reticulate","1.28"
"rlang","1.1.6"
"rmarkdown","2.29"
"roxygen2","7.3.3"
"rprojroot","2.1.1"
"rstudioapi","0.17.1"
"rversions","2.1.2"
"sass","0.4.10"
"scales","1.4.0"
"sessioninfo","1.2.3"
"shiny","1.11.1"
"sourcetools","0.1.7-1"
"stringi","1.8.7"
"stringr","1.5.2"
"sys","3.4.3"
"systemfonts","1.2.3"
"testthat","3.2.3"
"textshaping","1.0.3"
"tibble","3.3.0"
"tidyselect","1.2.1"
"tinytex","0.57"
"urlchecker","1.0.1"
"usethis","3.2.1"
"utf8","1.2.2"
"vctrs","0.6.5"
"viridisLite","0.4.2"
"waldo","0.6.2"
"whisker","0.4.1"
"withr","3.0.2"
"xfun","0.53"
"xml2","1.4.0"
"xopen","1.0.1"
"xtable","1.8-4"
"yaml","2.3.10"
"zip","2.3.3"
